,instrument,expiry,strike,option_type,ttm_days,ttm_years,underlying,mid_usd,mark_iv,moneyness,volume
155,BTC-26JUN26-88000-C,2026-06-26,88000,call,84,0.23013698630136986,67221.12,873.525010176,0.4537,1.3091123742062019,3.0
156,BTC-17APR26-66000-C,2026-04-17,66000,call,14,0.038356164383561646,66883.285,3026.26331456505,0.4861,0.986793636108035,4.8
157,BTC-10APR26-68000-C,2026-04-10,68000,call,7,0.019178082191780823,66865.33,1192.0985061055,0.4432,1.0169694817927317,76.2
158,BTC-24APR26-90000-C,2026-04-24,90000,call,21,0.057534246575342465,66902.28,34.581788532000004,0.5285,1.3452456328842606,4.9
159,BTC-24APR26-86000-C,2026-04-24,86000,call,21,0.057534246575342465,66902.28,56.997397445999994,0.4916,1.2854569380894045,9.4
160,BTC-10APR26-70000-C,2026-04-10,70000,call,7,0.019178082191780823,66865.33,545.9193121718,0.4277,1.0468803489042826,198.2
161,BTC-26JUN26-78000-C,2026-06-26,78000,call,84,0.23013698630136986,67221.12,2350.3723443648,0.45640000000000003,1.1603496044100425,14.1
162,BTC-17APR26-69000-C,2026-04-17,69000,call,14,0.038356164383561646,66883.285,1551.4768478223,0.45799999999999996,1.0316478922947638,130.8
163,BTC-24APR26-52000-P,2026-04-24,52000,put,21,0.057534246575342465,66901.77,250.76054529630002,0.6716,0.7772589574236974,20.9
164,BTC-24APR26-96000-C,2026-04-24,96000,call,21,0.057534246575342465,66902.28,19.510711916400002,0.5849,1.4349286750765444,0.0
165,BTC-29MAY26-71000-C,2026-05-29,71000,call,56,0.15342465753424658,67055.44,3325.269211284,0.46759999999999996,1.0588253540652333,33.3
166,BTC-29MAY26-58000-P,2026-05-29,58000,put,56,0.15342465753424658,67055.44,1965.4311563376,0.5433,0.8649559230392045,1.0
167,BTC-6APR26-65000-C,2026-04-06,65000,call,3,0.00821917808219178,66864.03,2254.528049943,0.4255,0.9721220811847566,0.0
168,BTC-6APR26-68500-C,2026-04-06,68500,call,3,0.00821917808219178,66864.03,360.1684467174,0.3705,1.0244671163254742,75.5
169,BTC-24APR26-80000-C,2026-04-24,80000,call,21,0.057534246575342465,66901.77,176.25538913580002,0.4543,1.195783011421073,13.9
170,BTC-6APR26-67500-C,2026-04-06,67500,call,3,0.00821917808219178,66864.03,691.3827625238999,0.3779,1.0095113919995549,1.6
171,BTC-17APR26-64000-C,2026-04-17,64000,call,14,0.038356164383561646,66883.76000000001,4324.812273291201,0.5082,0.9568840029328494,0.0
172,BTC-6APR26-59000-P,2026-04-06,59000,put,3,0.00821917808219178,66864.03,32.4999304218,0.643,0.8823877352292406,200.1
173,BTC-10APR26-66000-C,2026-04-10,66000,call,7,0.019178082191780823,66865.33,2232.1706606164003,0.4675,0.9870586146811808,60.4
174,BTC-26JUN26-85000-C,2026-06-26,85000,call,84,0.23013698630136986,67221.12,1182.6621690431998,0.4536,1.2644835432673542,14.9
175,BTC-10APR26-69000-C,2026-04-10,69000,call,7,0.019178082191780823,66865.33,819.0695344482,0.4335,1.0319249153485073,119.9
176,BTC-29MAY26-77000-C,2026-05-29,77000,call,56,0.15342465753424658,67055.44,1578.2175063944,0.45039999999999997,1.1483035530003234,49.3
177,BTC-24APR26-77000-C,2026-04-24,77000,call,21,0.057534246575342465,66902.28,354.7566989508,0.447,1.1509323748009783,31.6
178,BTC-29MAY26-54000-P,2026-05-29,54000,put,56,0.15342465753424658,67055.44,1236.8751418464,0.5774,0.8053037904158111,45.5
179,BTC-26JUN26-100000-C,2026-06-26,100000,call,84,0.23013698630136986,67221.12,289.4030546688,0.4689,1.4876276979615932,22.7
180,BTC-26JUN26-62000-P,2026-06-26,62000,put,84,0.23013698630136986,67221.12,4035.3618100992,0.5102,0.9223291727361878,5.9
181,BTC-10APR26-68000-P,2026-04-10,68000,put,7,0.019178082191780823,66865.33,2327.307989447,0.4432,1.0169694817927317,96.2
182,BTC-17APR26-82000-C,2026-04-17,82000,call,14,0.038356164383561646,66883.76000000001,37.316456216800006,0.473,1.2260076287577133,2.4
183,BTC-26JUN26-95000-C,2026-06-26,95000,call,84,0.23013698630136986,67221.12,438.33413487359996,0.45840000000000003,1.4132463130635136,6.7
184,BTC-17APR26-65000-C,2026-04-17,65000,call,14,0.038356164383561646,66883.285,3643.8354772753505,0.4963,0.9718422173791254,6.1
